,id,fecha,documento,concepto,fecha_indicativa,valor,documento__id,receipt_type,vinculo__id,periodo
0,173,2024-03-05,Recibo X 0001-00000020,,2024-03-05,-10000.00,48,Recibo X,,2024-03
3,151,2024-03-05,Factura X 0001-00000018,,2024-03-05,10000.00,39,Factura X,,2024-03
6,147,2024-03-05,Factura X 0001-00000017,,2024-03-05,2000.00,37,Factura X,,2024-03
7,146,2024-03-05,Recibo X 0001-00000017,,2024-03-05,-5000.00,36,Recibo X,,2024-03
10,140,2024-03-04,Factura X 0001-00000016,,2024-03-04,2000.00,34,Factura X,,2024-03
13,136,2024-03-01,Factura X 0001-00000015,,2024-03-01,2000.00,32,Factura X,,2024-03
14,134,2024-03-01,Factura X 0001-00000014,,2024-03-01,1000.00,31,Factura X,,2024-03
18,129,2024-03-01,Recibo X 0001-00000013,,2024-03-01,-3000.00,28,Recibo X,,2024-03
51,89,2024-03-01,Factura X 0001-00000013,,2024-03-01,10000.00,21,Factura X,,2024-03
52,87,2024-03-01,Factura X 0001-00000012,,2024-03-01,20000.00,20,Factura X,,2024-03
53,85,2024-03-01,Factura X 0001-00000011,,2024-03-01,2000.00,19,Factura X,,2024-03
54,83,2024-03-01,Factura X 0001-00000010,,2024-03-01,20.00,18,Factura X,,2024-03
55,82,2024-03-01,Recibo X 0001-00000007,,2024-03-01,-50000.00,17,Recibo X,,2024-03
58,77,2024-03-01,Factura X 0001-00000009,,2024-03-01,5.00,15,Factura X,,2024-03
59,75,2024-03-01,Factura X 0001-00000008,,2024-03-01,20000.00,14,Factura X,,2024-03
60,73,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
61,71,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
62,69,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
63,67,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
64,65,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
65,63,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
66,61,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
67,59,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
68,57,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
69,55,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
70,53,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
71,51,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
72,49,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
73,47,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
74,45,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
75,43,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
76,41,2024-02-28,Factura X 0001-00000007,,2024-02-28,1000.00,13,Factura X,,2024-02
77,39,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
78,37,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
79,35,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
80,33,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
81,31,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
82,29,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
83,27,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
84,25,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
85,23,2024-02-28,Factura X 0001-00000006,,2024-02-28,1000.00,12,Factura X,,2024-02
86,21,2024-02-28,Factura X 0001-00000005,,2024-02-28,50000.00,11,Factura X,,2024-02
88,18,2024-02-27,Recibo X 0001-00000005,,2024-02-27,-50000.00,9,Recibo X,,2024-02
89,15,2024-02-27,Factura X 0001-00000004,,2024-02-27,20000.00,8,Factura X,,2024-02
92,11,2024-02-27,Factura X 0001-00000003,,2024-02-27,20000.00,6,Factura X,,2024-02
93,10,2024-02-27,Recibo X 0001-00000003,,2024-02-27,-20000.00,5,Recibo X,,2024-02
95,5,2024-02-27,Factura X 0001-00000002,,2024-02-27,1000.00,3,Factura X,,2024-02
97,1,2024-02-27,Factura X 0001-00000001,,2024-02-27,10000.00,1,Factura X,,2024-02
